law,section,punishment,next_steps,keywords
Indian Penal Code (IPC),Section 26 - Reason to believe,Punishment not explicitly available in imported source text.,1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc reason believe person said thing sufficient cause but otherwise
Indian Penal Code (IPC),Section 260 - Using as genuine a Government stamp known to be counterfeit,"Whoever uses as genuine any stamp, knowing it to be a counterfeit of any stamp issued by Government for the purpose of revenue, shall be punished with imprisonment of either description for a term which may extend to seven years, or with fine, or with both.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc 260 using genuine government stamp known counterfeit whoever uses knowing issued purpose revenue punished imprisonment either description term which extend seven years
Indian Penal Code (IPC),"Section 261 - Effacing writing from substance bearing Government stamp, or removing from document a stamp used for it, with intent to cause loss to Government","Whoever, fraudulently or with intent to cause loss to the Government, removes or effaces from any substance, bearing any stamp issued by Government for the purpose of revenue, any writing or document for which such stamp has been used, or removes from any writing or document a stamp which has been used for such writing or document, in order that such stamp may be used for a different writing or document, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc 261 effacing writing substance bearing government stamp removing document used intent cause loss whoever fraudulently removes effaces issued purpose revenue which such
Indian Penal Code (IPC),Section 262 - Using Government stamp known to have been before used,"Whoever, fraudulently or with intent to cause loss to the Government, uses for any purpose a stamp issued by Government for the purpose of revenue, which he knows to have been before used, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc 262 using government stamp known been before used whoever fraudulently intent cause loss uses purpose issued revenue which knows punished imprisonment either
Indian Penal Code (IPC),Section 263 - Erasure of mark denoting that stamp has been used,"Whoever, fraudulently or with intent to cause loss to Government, erases or removes from a stamp issued by Government for the purpose of revenue, any mark, put or impressed upon such stamp for the purpose of denoting that the same has been used, or knowingly has in his possession or sells or disposes of any such stamp from which such mark has been erased or removed, or sells or disposes of any such stamp which he knows to have been used, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc 263 erasure mark denoting stamp been used whoever fraudulently intent cause loss government erases removes issued purpose revenue put impressed upon such
Indian Penal Code (IPC),Section 263A - Prohibition of fictitious stamps,"Whoever: makes, knowingly utters, deals in or sells any fictitious stamp, or knowingly uses for any postal purpose any fictitious stamp, or has in his possession, without lawful excuse, any fictitious stamp, or makes or, without lawful excuse, has in his possession any die, plate, instrument or materials for making any fictitious stamp, shall be punished with fine which may extend to two hundred rupees.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc 263a prohibition fictitious stamps whoever makes knowingly utters deals sells stamp uses postal purpose possession without lawful excuse die plate instrument materials
Indian Penal Code (IPC),Section 264 - Fraudulent use of false instrument for weighing,"Whoever, fraudulently uses any instrument for weighing which he knows to be false, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc 264 fraudulent use false instrument weighing whoever fraudulently uses which knows punished imprisonment either description term extend one year fine both
Indian Penal Code (IPC),Section 265 - Fraudulent use of false weight or measure,"Whoever, fraudulently uses any false weight or false measure of length or capacity, or fraudulently uses any weight or any measure of length or capacity as a different weight or measure from what it is, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc 265 fraudulent use false weight measure whoever fraudulently uses length capacity different what punished imprisonment either description term which extend one year
Indian Penal Code (IPC),Section 266 - Being in possession of false weight or measure,"Whoever is in possession of any instrument for weighing, or of any weight, or of any measure of length or capacity, which he knows to be false, intending that the same may be fraudulently used, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc 266 being possession false weight measure whoever instrument weighing length capacity which knows intending same fraudulently used punished imprisonment either description term
Indian Penal Code (IPC),Section 267 - Making or selling false weight or measure,"Whoever makes, sells or disposes of any instrument for weighing, or any weight, or any measure of length or capacity which he knows to be false, in order that the same may be used as true, or knowing that the same is likely to be used as true, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc 267 making selling false weight measure whoever makes sells disposes instrument weighing length capacity which knows order same used true knowing likely
Indian Penal Code (IPC),Section 268 - Public nuisance,Punishment not explicitly available in imported source text.,1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc 268 public nuisance person guilty who does illegal omission which causes common injury danger annoyance people general dwell occupy property vicinity must
Indian Penal Code (IPC),Section 269 - Negligent act likely to spread infection of disease dangerous to life,"Whoever unlawfully or negligently does any act which is, and which he knows or has reason to believe to be, likely to spread the infection of any disease dangerous to life, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc 269 negligent likely spread infection disease dangerous life whoever unlawfully negligently does which knows reason believe punished imprisonment either description term extend
Indian Penal Code (IPC),"Section 27 - Property in possession of wife, clerk or servant",Punishment not explicitly available in imported source text.,1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc property possession wife clerk servant when person account within meaning
Indian Penal Code (IPC),Section 270 - Malignant act likely to spread infection of disease dangerous to life,"Whoever malignantly does any act which is, and which he knows or has reason to believe to be, likely to spread the infection of any disease dangerous to life, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc 270 malignant likely spread infection disease dangerous life whoever malignantly does which knows reason believe punished imprisonment either description term extend two
Indian Penal Code (IPC),Section 271 - Disobedience to quarantine rule,"Whoever knowingly disobeys any rule made and promulgated by the Government for putting any vessel into a state of quarantine, or for regulating the intercourse of vessels in a state of quarantine with the shore or with other vessels, for regulating the intercourse between places where an infectious disease prevails and other places, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc 271 disobedience quarantine rule whoever knowingly disobeys made promulgated government putting vessel state regulating intercourse vessels shore other between places where infectious
Indian Penal Code (IPC),Section 272 - Adulteration of food or drink intended for sale,"Whoever adulterates any article of food or drink, so as to make such article noxious as food or drink, intending to sell such article as food or drink, or knowing it to be likely that the same will be sold as food or drink, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc 272 adulteration food drink intended sale whoever adulterates make such noxious intending sell knowing likely same will sold punished imprisonment either description
Indian Penal Code (IPC),Section 273 - Sale of noxious food or drink,"Whoever sells, or offers or exposes for sale, as food or drink, any article which has been rendered or has become noxious, or is in a state unfit for food or drink, knowing or having reason to believe that the same is noxious as food or drink, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc 273 sale noxious food drink whoever sells offers exposes which been rendered become state unfit knowing having reason believe same punished imprisonment
Indian Penal Code (IPC),Section 274 - Adulteration of drugs,"Whoever adulterates any drug or medical preparation in such a manner as to lessen the efficacy or change the operation of such drug or medical preparation, or to make it noxious, intending that it shall be sold or used for, or knowing it to be likely that it will be sold or used for, any medicinal purpose, as it had not undergone such adulteration, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc 274 adulteration drugs whoever adulterates drug medical preparation such manner lessen efficacy change operation make noxious intending sold used knowing likely will
Indian Penal Code (IPC),Section 275 - Sale of adulterated drugs,"Whoever, knowing any drug or medical preparation to have been adulterated in such a manner as to lessen its efficacy, to change its operation, or to render it noxious, sells the same, or offers or exposes it for sale, or issues it from any dispensary for medicinal purposes as unadulterated, or causes it to be used for medicinal purposes by any person not knowing of the adulteration, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc 275 sale adulterated drugs whoever knowing drug medical preparation been such manner lessen efficacy change operation render noxious sells same offers exposes
Indian Penal Code (IPC),Section 276 - Sale of drug as a different drug or preparation,"Whoever knowingly sells, or offers or exposes for sale, or issues from a dispensary for medicinal purposes, any drug or medical preparation, as a different drug or medical preparation, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc 276 sale drug different preparation whoever knowingly sells offers exposes issues dispensary medicinal purposes medical punished imprisonment either description term which extend
Indian Penal Code (IPC),Section 277 - Fouling water of public spring or reservoir,"Whoever voluntarily corrupts or fouls the water of any public spring or reservoir, so as to render it less fit for the purpose for which it is ordinarily used, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc 277 fouling water public spring reservoir whoever voluntarily corrupts fouls render less fit purpose which ordinarily used punished imprisonment either description term
Indian Penal Code (IPC),Section 278 - Making atmosphere noxious to health,"Whoever voluntarily vitiates the atmosphere in any place so as to make it noxious to the health of persons in general dwelling or carrying on business in the neighbourhood or passing along a public way, shall be punished with fine which may extend to five hundred rupees.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc 278 making atmosphere noxious health whoever voluntarily vitiates place make persons general dwelling carrying business neighbourhood passing along public way punished fine
Indian Penal Code (IPC),Section 279 - Rash driving or riding on a public way,"Whoever drives any vehicle, or rides, on any public way in a manner so rash or negligent as to endanger human life, or to be likely to cause hurt or injury to any other person, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc 279 rash driving riding public way whoever drives vehicle rides manner negligent endanger human life likely cause hurt injury other person punished
Indian Penal Code (IPC),Section 28 - Counterfeit,Punishment not explicitly available in imported source text.,1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc counterfeit person said who causes one thing resemble another intending means resemblance practice deception knowing likely will thereby practiced
Indian Penal Code (IPC),Section 280 - Rash navigation of vessel,"Whoever navigates any vessel in a manner so rash or negligent to endanger human life, or to be likely to cause hurt or injury to any other person, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc 280 rash navigation vessel whoever navigates manner negligent endanger human life likely cause hurt injury other person punished imprisonment either description term
Indian Penal Code (IPC),"Section 281 - Exhibition of false light, mark or buoy","Whoever exhibits any false light, mark or buoy, intending or knowing it to be likely that such exhibition will mislead any navigator, shall be punished with imprisonment of either description for a term which may extend to seven years, or with fine, or with both.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc 281 exhibition false light mark buoy whoever exhibits intending knowing likely such will mislead navigator punished imprisonment either description term which extend
Indian Penal Code (IPC),Section 282 - Conveying person by water for hire in unsafe or overloaded vessel,"Whoever knowingly or negligently conveys, or causes to be conveyed for hire, any person by water in any vessel, when that vessel is in such a state or so loaded as to endanger the life of that person, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc 282 conveying person water hire unsafe overloaded vessel whoever knowingly negligently conveys causes conveyed when such state loaded endanger life punished imprisonment
Indian Penal Code (IPC),Section 283 - Danger or obstruction in public way or line of navigation,"Whoever, by doing any act, or by omitting to take order with any property in his possession or under his charge, causes danger, obstruction or injury to any person in any public way or public line of navigation, shall be punished, with fine which may extend to two hundred rupees.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc 283 danger obstruction public way line navigation whoever doing omitting take order property possession charge causes injury person punished fine which extend
Indian Penal Code (IPC),Section 284 - Negligent conduct with respect to poisonous substance,"Whoever does, with any poisonous substance, any act in a manner so rash or negligent as to endanger human life, or to be likely to cause hurt or injury to any person, or knowingly or negligently omits to take such order with any poisonous substance in his possession as is sufficient to guard against probable danger to human life from such poisonous substance, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc 284 negligent conduct respect poisonous substance whoever does manner rash endanger human life likely cause hurt injury person knowingly negligently omits take
Indian Penal Code (IPC),Section 285 - Negligent conduct with respect to fire or combustible matter,"Whoever does, with fire or any combustible matter, any act so rashly or negligently as to endanger human life, or to be likely to cause hurt or injury to any other person, or knowingly or negligently omits to take such order with any fire or any combustible matter in his possession as is sufficient to guard against any probable danger to human life from such fire or combustible matter, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc 285 negligent conduct respect fire combustible matter whoever does rashly negligently endanger human life likely cause hurt injury other person knowingly omits
Indian Penal Code (IPC),Section 286 - Negligent conduct with respect to explosive substance,"Whoever does, with any explosive substance, any act so rashly or negligently as to endanger human life, or to be likely to cause hurt or injury to any other person, or knowingly or negligently omits to take such order with any explosive substance in his possession as is sufficient to guard against any probable danger to human life from that substance, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc 286 negligent conduct respect explosive substance whoever does rashly negligently endanger human life likely cause hurt injury other person knowingly omits take
Indian Penal Code (IPC),Section 287 - Negligent conduct with respect to machinery,"Whoever does, with any machinery, any act so rashly or negligently as to endanger human life or to be likely to cause hurt or injury to any other person, or knowingly or negligently omits to take such order with any machinery in his possession or under his care as is sufficient to guard against any probable danger to human life from such machinery, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc 287 negligent conduct respect machinery whoever does rashly negligently endanger human life likely cause hurt injury other person knowingly omits take such
Indian Penal Code (IPC),Section 288 - Negligent conduct with respect to pulling down or repairing buildings,"Whoever, in pulling down or repairing any building, knowingly or negligently omits to take such order with that building as is sufficient to guard against any probable danger to human life from the fall of that building, or of any part thereof, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc 288 negligent conduct respect pulling down repairing buildings whoever building knowingly negligently omits take such order sufficient guard against probable danger human
Indian Penal Code (IPC),Section 289 - Negligent conduct with respect to animal,"Whoever knowingly or negligently omits to take such order with any animal in his possession as is sufficient to guard against any probable danger to human life, or any probable danger of grievous hurt from such animal, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc 289 negligent conduct respect animal whoever knowingly negligently omits take such order possession sufficient guard against probable danger human life grievous hurt
Indian Penal Code (IPC),Section 29 - Document,Punishment not explicitly available in imported source text.,1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc document word denotes matter expressed described upon substance means letters figures marks more than one those intended used which evidence
Indian Penal Code (IPC),Section 290 - Punishment for public nuisance in cases not otherwise provided for,"Whoever commits a public nuisance in any case not otherwise punishable by this Code, shall be punished with fine which may extend to two hundred rupees.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc 290 punishment public nuisance cases otherwise provided whoever commits case punishable punished fine which extend two hundred rupees
Indian Penal Code (IPC),Section 291 - Continuance of nuisance after injunction to discontinue,"Whoever repeats or continues a public nuisance, having been enjoined by any public servant who has lawful authority to issue such injunction not to repeat or continue such nuisance, shall be punished with simple imprisonment for a term which may extend to six months, or with fine, or with both.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc 291 continuance nuisance after injunction discontinue whoever repeats continues public having been enjoined servant who lawful authority issue such repeat continue punished
Indian Penal Code (IPC),"Section 292 - Sale, etc., of obscene books, etc.","Whoever: sells, lets to hire, distributes, publicly exhibits or in any manner puts into circulation, or for purposes of sale, hire, distribution, public exhibition or circulation, makes, reduces or has in his possession any obscene book, pamphlet, paper, drawing, painting, representation or figure or any other obscene object whatsoever, or imports, exports or conveys any obscene object for any of the purposes aforesaid, or knowing or having reason to believe that such object will be sold, let to hire, distributed or publicly exhibited or in any manner put into circulation, or takes part in or receives profits from any business in the course of which he knows or has reason to believe that any such obscene objects are, for any of the purposes aforesaid, made, produced, purchased, kept, imported, exported, conveyed, publicly exhibited or in any manner put into circulation, or advertises or makes known by any means whatsoever that any person is engaged or is ready to engage in any act which is an offence under this section, or that any such obscene object can be procured from or through any person, or offers or attempts to do any act which is an offence under this section, shall be punished on first conviction with imprisonment of either description for a term which may extend to two years, and with fine which may extend to two thousand rupees, and, in the event of a second or subsequent conviction, with imprisonment of either description for a term which may extend to five years, and also with fine which may extend to five thousand rupees.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc 292 sale etc obscene books purposes sub book pamphlet paper writing drawing painting representation figure other object deemed lascivious appeals prurient interest
Indian Penal Code (IPC),"Section 293 - Sale, etc., of obscene objects to young person","Whoever sells, lets to hire, distributes, exhibits or circulates to any person under the age of twenty years any such obscene object as is referred to in the last preceding section, or offers or attempts so to do, shall be punished on first conviction with imprisonment of either description for a term which may extend to three years, and with fine which may extend to two thousand rupees, and, in the event of a second or subsequent conviction, with imprisonment of either description for a term which may extend to seven years, and also with fine which may extend to five thousand rupees.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc 293 sale etc obscene objects young person whoever sells lets hire distributes exhibits circulates age twenty years such object referred last preceding
Indian Penal Code (IPC),Section 294 - Obscene acts and songs,"Whoever, to the annoyance of others: does any obscene act in any public place, or sings, recites or utters any obscene song, ballad or words, in or near any public place, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine, or with both.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc 294 obscene acts songs whoever annoyance others does public place sings recites utters song ballad words near punished imprisonment either description term
Indian Penal Code (IPC),Section 294A - Keeping lottery office,"Whoever keeps any office or place for the purpose of drawing any lottery not being a State lottery or a lottery authorised by the State Government, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc 294a keeping lottery office whoever keeps place purpose drawing being state authorised government punished imprisonment either description term which extend six months
Indian Penal Code (IPC),"Section 295 - Injuring or defiling place of worship, with intent to insult the religion of any class","Whoever destroys, damages or defiles any place of worship, or any object held sacred by any class of persons with the intention of thereby insulting the religion of any class of persons or with the knowledge that any class of persons is likely to consider such destruction, damage or defilement as an insult to their religion, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc 295 injuring defiling place worship intent insult religion class whoever destroys damages defiles object held sacred persons intention thereby insulting knowledge likely
Indian Penal Code (IPC),Section 295A - Deliberate and malicious acts intended to outrage religious feelings of any class by insulting its religion or religious beliefs,"Whoever, with deliberate and malicious intention of outraging the religious feelings of any class of citizens of India, by words, either spoken or written, or by signs or by visible representations or otherwise insults or attempts to insult the religion or the religious beliefs of that class, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc 295a deliberate malicious acts intended outrage religious feelings class insulting religion beliefs whoever intention outraging citizens india words either spoken written signs
Indian Penal Code (IPC),Section 296 - Disturbing religious assembly,"Whoever voluntarily causes disturbance to any assembly lawfully engaged in the performance of religious worship, or religious ceremonies, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc 296 disturbing religious assembly whoever voluntarily causes disturbance lawfully engaged performance worship ceremonies punished imprisonment either description term which extend one year
Indian Penal Code (IPC),"Section 297 - Trespassing on burial places, etc","Whoever, with the intention of wounding the feelings of any person, or of insulting the religion of any person, or with the knowledge that the feelings of any person are likely to be wounded, or that the religion of any person is likely to be insulted thereby, commits any trespass in any place of worship or on any place of sepulture, or any place set apart for the performance of funeral rites or as a depository for the remains of the dead, or offers any indignity to any human corpse, or causes disturbance to any persons assembled for the performance of funeral ceremonies, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc 297 trespassing burial places etc whoever intention wounding feelings person insulting religion knowledge likely wounded insulted thereby commits trespass place worship sepulture
Indian Penal Code (IPC),"Section 298 - Uttering words, etc., with deliberate intent to wound religious feelings","Whoever, with the deliberate intention of wounding the religious feelings of any person, utters any word or makes any sound in the hearing of that person or makes any gesture in the sight of that person or places any object in the sight of that person, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc 298 uttering words etc deliberate intent wound religious feelings whoever intention wounding person utters word makes sound hearing gesture sight places object
Indian Penal Code (IPC),Section 299 - Culpable homicide,"Whoever causes death by doing an act with the intention of causing death, or with the intention of causing such bodily injury as is likely to cause death, or with the knowledge that he is likely by such act to cause death, commits the offence of culpable homicide.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc 299 culpable homicide whoever causes death doing intention causing such bodily injury likely cause knowledge commits offence
Indian Penal Code (IPC),Section 29A - Electronic record,Punishment not explicitly available in imported source text.,1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc 29a electronic record words meaning assigned clause sub information technology 2000
Indian Penal Code (IPC),"Section 3 - Punishment of offences committed beyond, but which by law may be tried within, India","Any person liable, by any Indian law, to be tried for an offence committed beyond India shall be dealt with according to the provisions of this Code for any act committed beyond India in the same manner as if such act had been committed within India.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc punishment offences committed beyond but which tried within india person liable offence dealt according provisions same manner such been
Indian Penal Code (IPC),Section 30 - Valuable security,Punishment not explicitly available in imported source text.,1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc valuable security words denote document which purports whereby legal right created extended transferred restricted extinguished released who hereby person acknowledges lies liability
Indian Penal Code (IPC),Section 300 - Murder,Punishment not explicitly available in imported source text.,1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc 300 murder except cases hereinafter excepted culpable homicide
Indian Penal Code (IPC),Section 301 - Culpable homicide by causing death of person other than person whose death was intended,"If a person, by doing anything which he intends or knows to be likely to cause death, commits culpable homicide by causing the death of any person, whose death he neither intends nor knows himself to be likely to cause, the culpable homicide committed by the offender is of the description of which it would have been if he had caused the death of the person whose death he intended or knew himself to he likely to cause.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc 301 culpable homicide causing death person other than whose intended doing anything which intends knows likely cause commits neither nor committed offender
Indian Penal Code (IPC),Section 302 - Punishment for murder,"Whoever commits murder shall be punished with death, or imprisonment for life, and shall also be liable to fine.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc 302 punishment murder whoever commits punished death imprisonment life also liable fine
Indian Penal Code (IPC),Section 303 - Punishment for murder by life-convict,"Whoever, being under sentence of imprisonment for life, commits murder, shall be punished with death.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc 303 punishment murder life convict whoever being sentence imprisonment commits punished death
Indian Penal Code (IPC),Section 304 - Punishment for culpable homicide not amounting to murder,"Whoever commits culpable homicide not amounting to murder shall be punished with imprisonment for life, or imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine, if the act by which the death is caused is done with the intention of causing death, or of causing such bodily injury as is likely to cause death;",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc 304 punishment culpable homicide amounting murder whoever commits punished imprisonment life either description term which extend ten years also liable fine death
Indian Penal Code (IPC),Section 304A - Causing death by negligence,"Whoever causes the death of any person by doing any rash or negligent act not amounting to culpable homicide shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc 304a causing death negligence whoever causes person doing rash negligent amounting culpable homicide punished imprisonment either description term which extend two years
Indian Penal Code (IPC),Section 304B - Dowry death,Punishment not explicitly available in imported source text.,1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc 304b dowry death none
Indian Penal Code (IPC),Section 305 - Abetment of suicide of child or insane person,"If any person under eighteen years of age, any insane person, any delirious person, any idiot, or any person in a state of intoxication commits suicide, whoever abets the commission of such suicide, shall be punished with death or imprisonment for life, or imprisonment for a term not exceeding ten years, and shall also be liable to fine.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,indian penal ipc 305 abetment suicide child insane person eighteen years age delirious idiot state intoxication commits whoever abets commission such punished death imprisonment life
